,uf,renda
0,AC,1506.0917822838846
1,AL,1144.9478935698448
2,AP,1523.5356880058866
3,BA,1429.6450935805492
4,CE,1255.4036915748734
5,DF,4241.954722492697
6,ES,2026.3838517538054
7,GO,1994.580793559517
8,MA,1019.4320089535535
9,MG,2056.4320843091336
10,MS,2262.6041666666665
11,MT,2130.652777777778
12,PA,1399.0768712070128
13,PB,1293.370486656201
14,PE,1527.0793193717277
15,PI,1074.55078447564
16,PR,2493.870752984389
17,RJ,2496.4031677465805
18,RN,1344.72147995889
19,RO,1789.761223162004
20,RR,1783.588888888889
21,RS,2315.1583359696297
22,SC,2470.854945054945
23,SE,1109.111111111111
24,SP,2638.1049859550562
25,TO,1771.0949464012251
